node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
23 24 1 -0.3047 -0.0802 -16.9827 -0.3191 -0.1463 -17.9804 0.0255 7.9793 63.0000 1 2 1  
24 25 1 -0.3191 -0.1463 -17.9804 -0.3280 -0.1497 -18.1546 0.0255 8.0712 63.0000 1 2 1  
604 621 494 -0.0125 -0.0628 -2.0768 0.3023 0.1026 -2.4283 0.0095 8.1862 58.8227 2 2 494  
25 26 1 -0.3280 -0.1497 -18.1546 -0.4158 -0.1206 -18.9954 0.0255 8.5187 63.0000 1 2 1  
704 721 520 0.0570 -0.0072 -2.0818 -0.1259 0.3030 -2.4287 0.0096 8.5625 59.0599 2 2 520  
133 134 341 -0.1040 -0.0182 -2.1151 -1.0287 -0.3771 -2.2420 0.0110 8.9216 60.1510 3 2 341  
724 725 521 0.6737 -0.1504 -3.4678 1.6410 -0.3865 -3.5602 0.0101 9.0104 58.0595 3 2 521  
26 27 1 -0.4158 -0.1206 -18.9954 -0.5277 -0.0987 -19.9359 0.0255 9.0234 63.0000 1 2 1  
1794 1795 8 0.0000 0.0000 -1.0000 -0.0690 0.0522 -1.0502 0.0569 9.0355 54.0000 5 2 8  
8 185 356 -0.2734 0.4115 -6.1526 -0.6959 0.6604 -6.2502 0.0094 9.0399 58.1217 2 2 356  
710 711 4 2.3116 0.2096 -10.8391 2.5442 0.3358 -12.3266 0.0186 9.0402 61.5000 4 2 4  
838 839 5 0.0000 0.0000 -1.0000 -0.0406 0.0736 -1.0541 0.0634 9.0462 54.0000 5 2 5  
554 555 2 2.4404 -3.3980 -8.2023 2.7978 -3.8035 -9.5454 0.0183 9.0664 62.5000 4 2 2  
609 610 3 -2.6586 -3.6470 -8.2365 -3.1062 -3.9807 -9.6772 0.0170 9.1518 62.0000 4 2 3  
7 182 355 -0.2198 0.3686 -5.2055 -0.6411 0.5691 -5.3852 0.0084 9.1711 58.5980 2 2 355  
194 195 359 -0.2143 0.5043 -9.0628 -0.2855 1.4264 -9.4430 0.0099 9.3561 56.6589 3 2 359  
1794 2131 9 0.0000 0.0000 -1.0000 -0.0683 -0.0313 -1.0660 0.0393 9.5341 53.5000 5 2 9  
838 1132 6 0.0000 0.0000 -1.0000 0.0098 -0.0797 -1.0595 0.0543 9.5387 53.5000 5 2 6  
1795 1796 8 -0.0690 0.0522 -1.0502 -0.9506 0.9092 -1.8500 0.0569 9.5588 54.0000 5 2 8  
27 28 1 -0.5277 -0.0987 -19.9359 -0.7496 -0.0663 -20.9105 0.0255 9.5602 63.0000 1 2 1  
28 29 1 -0.7496 -0.0663 -20.9105 -0.7671 -0.0684 -20.9545 0.0255 9.5858 63.0000 1 2 1  
839 840 5 -0.0406 0.0736 -1.0541 -0.6435 1.1997 -1.8604 0.0634 9.7470 54.0000 5 2 5  
9 188 357 -0.2564 0.4457 -7.0920 -0.1885 -0.0386 -7.1960 0.0084 9.8922 57.6469 2 2 357  
605 624 495 -0.5155 -0.8865 -3.2684 -0.8307 -0.5458 -3.4542 0.0090 9.9051 57.4817 2 2 495  
838 1449 7 0.0000 0.0000 -1.0000 0.0554 -0.0495 -1.0670 0.0522 10.0324 53.0000 5 2 7  
1794 2413 10 0.0000 0.0000 -1.0000 -0.0744 0.0056 -1.0666 0.0543 10.0430 53.0000 5 2 10  
2131 2132 9 -0.0683 -0.0313 -1.0660 -1.1019 -0.3853 -2.1058 0.0393 10.0515 53.5000 5 2 9  
748 749 527 1.1661 -0.2889 -4.8794 2.0821 -0.6839 -4.8097 0.0100 10.0600 56.9771 3 2 527  
550 568 481 0.7016 -0.7811 -3.1009 0.5705 -1.2539 -3.0046 0.0087 10.0637 57.6786 2 2 481  
1796 1797 8 -0.9506 0.9092 -1.8500 -1.9229 1.7544 -2.6505 0.0569 10.1061 54.0000 5 2 8  
1132 1133 6 0.0098 -0.0797 -1.0595 0.1672 -1.3286 -1.8922 0.0543 10.1256 53.5000 5 2 6  
29 30 1 -0.7671 -0.0684 -20.9545 -1.1875 -0.1059 -21.8611 0.0255 10.1270 63.0000 1 2 1  
30 31 1 -1.1875 -0.1059 -21.8611 -1.1996 -0.1105 -21.8947 0.0255 10.1466 63.0000 1 2 1  
10 191 358 -0.2111 0.3950 -8.0271 -0.6204 0.5853 -8.2423 0.0083 10.1935 57.1700 2 2 358  
22 241 372 -0.2618 -0.1016 -16.0494 -0.2814 -0.1853 -16.1005 0.0104 10.3585 52.9253 3 2 372  
840 841 5 -0.6435 1.1997 -1.8604 -1.3118 2.0164 -2.9261 0.0634 10.4496 54.0000 5 2 5  
1449 1450 7 0.0554 -0.0495 -1.0670 0.8996 -0.7137 -2.0822 0.0522 10.5135 53.0000 5 2 7  
711 712 4 2.5442 0.3358 -12.3266 2.4636 0.3302 -13.8369 0.0186 10.5590 61.5000 4 2 4  
2132 2133 9 -1.1019 -0.3853 -2.1058 -2.1197 -0.7375 -3.1522 0.0393 10.5718 53.5000 5 2 9  
1797 1798 8 -1.9229 1.7544 -2.6505 -2.7923 2.5764 -3.5073 0.0569 10.6431 54.0000 5 2 8  
2413 2414 10 -0.0744 0.0056 -1.0666 -1.0384 -0.1400 -2.1836 0.0543 10.6839 53.0000 5 2 10  
31 32 1 -1.1996 -0.1105 -21.8947 -1.4385 -0.2314 -22.8581 0.0255 10.6923 63.0000 1 2 1  
1133 1134 6 0.1672 -1.3286 -1.8922 0.3437 -2.5404 -2.7253 0.0543 10.7075 53.5000 5 2 6  
32 33 1 -1.4385 -0.2314 -22.8581 -1.4467 -0.2410 -22.9028 0.0255 10.7177 63.0000 1 2 1  
610 611 3 -3.1062 -3.9807 -9.6772 -3.5222 -4.1644 -11.0565 0.0170 10.8683 62.0000 4 2 3  
707 772 533 1.4817 -0.0811 -6.3751 1.9144 -0.3302 -6.4016 0.0092 10.9369 55.7427 2 2 533  
1450 1451 7 0.8996 -0.7137 -2.0822 1.7120 -1.2847 -3.1854 0.0522 11.0014 53.0000 5 2 7  
2133 2134 9 -2.1197 -0.7375 -3.1522 -3.1636 -1.0758 -4.1411 0.0393 11.0889 53.5000 5 2 9  
157 158 348 0.2587 1.1414 -4.6331 0.5961 1.9993 -5.0209 0.0081 11.0950 59.1222 3 2 348  
555 556 2 2.7978 -3.8035 -9.5454 3.1885 -4.2439 -11.0470 0.0183 11.1303 62.5000 4 2 2  
33 34 1 -1.4467 -0.2410 -22.9028 -1.4728 -0.3836 -23.6671 0.0255 11.1454 63.0000 1 2 1  
841 842 5 -1.3118 2.0164 -2.9261 -1.5593 2.9673 -4.0382 0.0634 11.1515 54.0000 5 2 5  
1798 1799 8 -2.7923 2.5764 -3.5073 -3.6763 3.3708 -4.3871 0.0569 11.1889 54.0000 5 2 8  
606 627 496 -1.0712 -1.6221 -4.4628 -0.6230 -1.7055 -4.6683 0.0087 11.2727 56.0510 2 2 496  
1134 1135 6 0.3437 -2.5404 -2.7253 0.6711 -3.6297 -3.7097 0.0543 11.3048 53.5000 5 2 6  
