 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date: ***.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = -    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  45   -44.0000   -3162.854 0.1029   0.3325E-06  0.4412E-05  0.8432E-04  0.8234E-03      -1   0.338E-05   20.00
  46   -45.0000   -3031.909 0.1035   0.4003E-06  0.4757E-05 -0.1707E-04  0.6654E-03      -1  -0.684E-06   20.00
  47   -46.0000   -3261.030 0.1025   0.3102E-06  0.4249E-05  0.4112E-04  0.1091E-02      -1   0.165E-05   20.00
  48   -47.0000   -2859.771 0.1044   0.5093E-06  0.5275E-05  0.1345E-03  0.8145E-03      -1   0.539E-05   20.00
  49   -48.0000   -2674.037 0.1054   0.6269E-06  0.5835E-05  0.9045E-04  0.7568E-03      -1   0.362E-05   20.00
  50   -49.0000   -2558.535 0.1060   0.7000E-06  0.6183E-05  0.1725E-03  0.1033E-02      -1   0.691E-05   20.00
  51   -50.0000   -2263.186 0.1081   0.1128E-05  0.7597E-05  0.2445E-03  0.7371E-03      -1   0.980E-05   20.00
  52   -51.0000   -2090.334 0.1094   0.1432E-05  0.8540E-05  0.1058E-03  0.4306E-03      -1   0.424E-05   20.00
  53   -52.0000   -2095.175 0.1094   0.1424E-05  0.8514E-05  0.7615E-04  0.8549E-03      -1   0.305E-05   20.00
  54   -53.0000   -1988.335 0.1102   0.1612E-05  0.9097E-05  0.1278E-03  0.6243E-03      -1   0.512E-05   20.00
  55   -54.0000   -1931.851 0.1108   0.1809E-05  0.9544E-05  0.4563E-04  0.4838E-03      -1   0.183E-05   20.00
  56   -55.0000   -1932.866 0.1108   0.1804E-05  0.9534E-05  0.1629E-03  0.1019E-02      -1   0.653E-05   20.00
  57   -56.0000   -1780.484 0.1124   0.2549E-05  0.1104E-04  0.2717E-03  0.3793E-03      -1   0.109E-04   20.00
  58   -57.0000   -1701.486 0.1133   0.2936E-05  0.1182E-04  0.1924E-03  0.3458E-03      -1   0.771E-05   20.00
  59   -58.0000   -1644.870 0.1139   0.3213E-05  0.1238E-04  0.1747E-03  0.3600E-03      -1   0.700E-05   20.00
  60   -59.0000   -1590.509 0.1145   0.3479E-05  0.1292E-04  0.1521E-03  0.2841E-03      -1   0.610E-05   20.00
  61   -60.0000   -1554.316 0.1149   0.3667E-05  0.1329E-04  0.9510E-04  0.2842E-03      -1   0.381E-05   20.00
  62   -61.0000   -1536.310 0.1152   0.3912E-05  0.1361E-04  0.1037E-03  0.3925E-03      -1   0.415E-05   20.00
  63   -62.0000   -1500.884 0.1158   0.4394E-05  0.1425E-04  0.8788E-04  0.1613E-03      -1   0.352E-05   20.00
  64   -63.0000   -1492.515 0.1159   0.4507E-05  0.1440E-04  0.3817E-04  0.2608E-03      -1   0.153E-05   20.00
  65   -64.0000   -1482.006 0.1161   0.4650E-05  0.1458E-04  0.4094E-04  0.2846E-03      -1   0.164E-05   20.00
  66   -65.0000   -1472.871 0.1162   0.4774E-05  0.1475E-04  0.7872E-04  0.3918E-03      -1   0.315E-05   20.00
  67   -66.0000   -1447.783 0.1166   0.5115E-05  0.1520E-04  0.7598E-04  0.2127E-03      -1   0.304E-05   20.00
  68   -67.0000   -1440.424 0.1167   0.5215E-05  0.1533E-04  0.8222E-04  0.3768E-03      -1   0.329E-05   20.00
  69   -68.0000   -1415.001 0.1172   0.5561E-05  0.1578E-04  0.1106E-03  0.1792E-03      -1   0.443E-05   20.00
  70   -69.0000   -1398.215 0.1174   0.5789E-05  0.1608E-04  0.6681E-04  0.1091E-03      -1   0.268E-05   20.00
  71   -70.0000   -1389.682 0.1176   0.5905E-05  0.1624E-04  0.5228E-04  0.1527E-03      -1   0.209E-05   20.00
  72   -71.0000   -1378.562 0.1177   0.6056E-05  0.1644E-04  0.5573E-04  0.1039E-03      -1   0.223E-05   20.00
  73   -72.0000   -1369.239 0.1179   0.6183E-05  0.1660E-04  0.4163E-04  0.5391E-04      -1   0.167E-05   20.00
  74   -73.0000   -1363.046 0.1180   0.6267E-05  0.1671E-04  0.3325E-04  0.6484E-04      -1   0.133E-05   20.00
  75   -74.0000   -1356.632 0.1181   0.6354E-05  0.1683E-04  0.3162E-04  0.5349E-04      -1   0.127E-05   20.00
  76   -75.0000   -1351.083 0.1182   0.6429E-05  0.1693E-04  0.2672E-04  0.4260E-04      -1   0.107E-05   20.00
  77   -76.0000   -1346.313 0.1182   0.6494E-05  0.1701E-04  0.2371E-04  0.3656E-04      -1   0.950E-06   20.00
  78   -77.0000   -1341.780 0.1183   0.6556E-05  0.1710E-04  0.1532E-04  0.4729E-05      -1   0.614E-06   20.00
  79   -78.0000   -1339.625 0.1183   0.6585E-05  0.1713E-04  0.8594E-05  0.2061E-04      -1   0.344E-06   20.00
  80   -79.0000   -1337.171 0.1184   0.6619E-05  0.1718E-04  0.7717E-05  0.1054E-04      -1   0.309E-06   20.00
  81   -80.0000   -1335.291 0.1184   0.6644E-05  0.1721E-04  0.4452E-05  0.6547E-05      -1   0.178E-06   20.00
  82   -81.0000   -1333.830 0.1184   0.6664E-05  0.1724E-04  0.2478E-05  0.6755E-05      -1   0.993E-07   20.00
  83   -82.0000   -1332.547 0.1185   0.6681E-05  0.1726E-04  0.4526E-06  0.7064E-05      -1   0.181E-07   20.00
  84   -83.0000   -1331.694 0.1185   0.6693E-05  0.1728E-04 -0.1396E-05  0.2798E-05      -1  -0.559E-07   20.00
  85   -84.0000   -1330.964 0.1185   0.6703E-05  0.1729E-04 -0.2071E-05  0.2694E-05      -1  -0.830E-07   20.00
  86   -85.0000   -1330.312 0.1185   0.6712E-05  0.1730E-04 -0.3302E-05  0.8684E-06      -1  -0.132E-06   20.00
  87   -86.0000   -1329.948 0.1185   0.6717E-05  0.1731E-04 -0.4396E-05  0.1430E-05      -1  -0.176E-06   20.00
