 ******* Program HYDRUS
 ******* 
 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date:  26. 8.2022    Time:   8:48:15
 Units: L = cm   , T = days , M = -    

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.6550  0.00000E+00  0.35800E-01  0.18999E-06  0.18042E-01 -0.67338E-05  0.00000E+00  0.38347E-01 -0.19561E-05  0.19289E-01 -0.44107E-05 -0.53883E+03 -0.23900E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11257E+02  0.00000E+00  0.18964E-05     95  0.00000E+00      0.000
       0.6608  0.00000E+00  0.35800E-01  0.54017E-07  0.18042E-01 -0.67338E-05  0.00000E+00  0.38556E-01 -0.19558E-05  0.19394E-01 -0.44499E-05 -0.53964E+03 -0.23899E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11257E+02  0.00000E+00  0.18968E-05     96  0.00000E+00      0.000
       0.6667  0.00000E+00  0.35800E-01 -0.62399E-07  0.18042E-01 -0.67338E-05  0.00000E+00  0.38764E-01 -0.19562E-05  0.19499E-01 -0.44892E-05 -0.54044E+03 -0.23898E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11256E+02  0.00000E+00  0.18968E-05     97  0.00000E+00      0.000
       0.6667  0.00000E+00  0.35800E-01  0.10554E-03  0.18042E-01 -0.67338E-05  0.00000E+00  0.38766E-01 -0.19526E-05  0.19500E-01 -0.44894E-05 -0.54044E+03 -0.23898E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11256E+02  0.00000E+00  0.19003E-05     98  0.00000E+00      0.000
       0.6767  0.00000E+00  0.29900E-01  0.17405E-04  0.15083E-01 -0.67338E-05  0.00000E+00  0.39065E-01 -0.17786E-05  0.19651E-01 -0.45568E-05 -0.54177E+03 -0.23896E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11256E+02  0.00000E+00  0.20743E-05     99  0.00000E+00      0.000
       0.6867  0.00000E+00  0.29900E-01  0.11502E-06  0.15083E-01 -0.67338E-05  0.00000E+00  0.39364E-01 -0.17774E-05  0.19801E-01 -0.46241E-05 -0.54312E+03 -0.23893E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11256E+02  0.00000E+00  0.20755E-05    100  0.00000E+00      0.000
       0.6967  0.00000E+00  0.29900E-01 -0.17369E-06  0.15083E-01 -0.67338E-05  0.00000E+00  0.39663E-01 -0.17792E-05  0.19952E-01 -0.46915E-05 -0.54441E+03 -0.23889E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20755E-05    101  0.00000E+00      0.000
       0.7025  0.00000E+00  0.29900E-01 -0.26589E-06  0.15083E-01 -0.67338E-05  0.00000E+00  0.39836E-01 -0.17807E-05  0.20040E-01 -0.47305E-05 -0.54517E+03 -0.23888E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20755E-05    102  0.00000E+00      0.000
       0.7083  0.00000E+00  0.29900E-01 -0.72084E-06  0.15083E-01 -0.67338E-05  0.00000E+00  0.40009E-01 -0.17849E-05  0.20127E-01 -0.47696E-05 -0.54591E+03 -0.23886E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20755E-05    103  0.00000E+00      0.000
       0.7083  0.00000E+00  0.23900E-01 -0.29574E-04  0.12074E-01 -0.67338E-05  0.00000E+00  0.40010E-01 -0.17859E-05  0.20128E-01 -0.47698E-05 -0.54591E+03 -0.23886E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20755E-05    104  0.00000E+00      0.000
       0.7083  0.00000E+00  0.23900E-01 -0.42769E-02  0.12074E-01 -0.67338E-05  0.00000E+00  0.40010E-01 -0.17861E-05  0.20128E-01 -0.47698E-05 -0.54591E+03 -0.23886E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20755E-05    105  0.00000E+00      0.000
       0.7183  0.00000E+00  0.23900E-01  0.27195E-06  0.12074E-01 -0.67338E-05  0.00000E+00  0.40249E-01 -0.17834E-05  0.20248E-01 -0.48371E-05 -0.54699E+03 -0.23881E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20782E-05    106  0.00000E+00      0.000
       0.7283  0.00000E+00  0.23900E-01  0.53644E-06  0.12074E-01 -0.67338E-05  0.00000E+00  0.40488E-01 -0.17781E-05  0.20369E-01 -0.49045E-05 -0.54844E+03 -0.23876E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11255E+02  0.00000E+00  0.20836E-05    107  0.00000E+00      0.000
       0.7383  0.00000E+00  0.23900E-01 -0.10896E-06  0.12074E-01 -0.67338E-05  0.00000E+00  0.40727E-01 -0.17791E-05  0.20490E-01 -0.49718E-05 -0.54961E+03 -0.23871E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11254E+02  0.00000E+00  0.20836E-05    108  0.00000E+00      0.000
       0.7442  0.00000E+00  0.23900E-01  0.82375E-06  0.12074E-01 -0.67338E-05  0.00000E+00  0.40867E-01 -0.17743E-05  0.20560E-01 -0.50111E-05 -0.55035E+03 -0.23868E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11254E+02  0.00000E+00  0.20884E-05    109  0.00000E+00      0.000
       0.7500  0.00000E+00  0.23900E-01 -0.56718E-06  0.12074E-01 -0.67338E-05  0.00000E+00  0.41006E-01 -0.17777E-05  0.20631E-01 -0.50504E-05 -0.55104E+03 -0.23865E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11254E+02  0.00000E+00  0.20884E-05    110  0.00000E+00      0.000
       0.7600  0.00000E+00  0.17500E-01  0.18852E-04  0.88643E-02 -0.67338E-05  0.00000E+00  0.41181E-01 -0.15891E-05  0.20719E-01 -0.51177E-05 -0.55223E+03 -0.23861E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11254E+02  0.00000E+00  0.22769E-05    111  0.00000E+00      0.000
       0.7700  0.00000E+00  0.17500E-01 -0.19092E-06  0.88642E-02 -0.67338E-05  0.00000E+00  0.41356E-01 -0.15910E-05  0.20808E-01 -0.51850E-05 -0.55339E+03 -0.23854E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11254E+02  0.00000E+00  0.22769E-05    112  0.00000E+00      0.000
       0.7800  0.00000E+00  0.17500E-01  0.43004E-06  0.88641E-02 -0.67338E-05  0.00000E+00  0.41531E-01 -0.15867E-05  0.20897E-01 -0.52524E-05 -0.55454E+03 -0.23847E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.22812E-05    113  0.00000E+00      0.000
       0.7858  0.00000E+00  0.17500E-01 -0.28941E-06  0.88641E-02 -0.67338E-05  0.00000E+00  0.41633E-01 -0.15884E-05  0.20948E-01 -0.52917E-05 -0.55521E+03 -0.23844E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.22812E-05    114  0.00000E+00      0.000
       0.7917  0.00000E+00  0.17500E-01 -0.25705E-06  0.88640E-02 -0.67338E-05  0.00000E+00  0.41735E-01 -0.15899E-05  0.21000E-01 -0.53309E-05 -0.55587E+03 -0.23840E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.22812E-05    115  0.00000E+00      0.000
       0.7917  0.00000E+00  0.17500E-01  0.40862E-06  0.88640E-02 -0.67338E-05  0.00000E+00  0.41736E-01 -0.15899E-05  0.21000E-01 -0.53312E-05 -0.55587E+03 -0.23840E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.22812E-05    116  0.00000E+00      0.000
       0.8017  0.00000E+00  0.11100E-01  0.19558E-04  0.56544E-02 -0.67338E-05  0.00000E+00  0.41847E-01 -0.13943E-05  0.21057E-01 -0.53985E-05 -0.55697E+03 -0.23833E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24768E-05    117  0.00000E+00      0.000
       0.8117  0.00000E+00  0.11100E-01  0.24168E-06  0.56543E-02 -0.67338E-05  0.00000E+00  0.41958E-01 -0.13919E-05  0.21113E-01 -0.54658E-05 -0.55810E+03 -0.23825E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24792E-05    118  0.00000E+00      0.000
       0.8217  0.00000E+00  0.11100E-01  0.75670E-07  0.56542E-02 -0.67338E-05  0.00000E+00  0.42069E-01 -0.13912E-05  0.21170E-01 -0.55332E-05 -0.55918E+03 -0.23817E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24800E-05    119  0.00000E+00      0.000
       0.8275  0.00000E+00  0.11100E-01  0.10035E-06  0.56541E-02 -0.67338E-05  0.00000E+00  0.42133E-01 -0.13906E-05  0.21203E-01 -0.55722E-05 -0.55980E+03 -0.23812E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24805E-05    120  0.00000E+00      0.000
       0.8333  0.00000E+00  0.11100E-01 -0.22445E-06  0.56541E-02 -0.67338E-05  0.00000E+00  0.42198E-01 -0.13919E-05  0.21236E-01 -0.56113E-05 -0.56042E+03 -0.23807E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24805E-05    121  0.00000E+00      0.000
       0.8333  0.00000E+00  0.90000E-02 -0.35441E-05  0.46009E-02 -0.67338E-05  0.00000E+00  0.42198E-01 -0.13920E-05  0.21236E-01 -0.56115E-05 -0.56043E+03 -0.23807E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24805E-05    122  0.00000E+00      0.000
       0.8333  0.00000E+00  0.90000E-02 -0.35802E-02  0.46009E-02 -0.67338E-05  0.00000E+00  0.42198E-01 -0.13922E-05  0.21236E-01 -0.56115E-05 -0.56043E+03 -0.23807E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24805E-05    123  0.00000E+00      0.000
       0.8433  0.00000E+00  0.90000E-02 -0.18603E-06  0.46009E-02 -0.67338E-05  0.00000E+00  0.42288E-01 -0.13941E-05  0.21282E-01 -0.56789E-05 -0.56120E+03 -0.23802E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11253E+02  0.00000E+00  0.24805E-05    124  0.00000E+00      0.000
       0.8533  0.00000E+00  0.90000E-02  0.55064E-06  0.46007E-02 -0.67338E-05  0.00000E+00  0.42378E-01 -0.13886E-05  0.21328E-01 -0.57462E-05 -0.56259E+03 -0.23789E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.24860E-05    125  0.00000E+00      0.000
       0.8633  0.00000E+00  0.90000E-02  0.30524E-06  0.46006E-02 -0.67338E-05  0.00000E+00  0.42468E-01 -0.13855E-05  0.21374E-01 -0.58135E-05 -0.56352E+03 -0.23781E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.24891E-05    126  0.00000E+00      0.000
       0.8692  0.00000E+00  0.90000E-02  0.26077E-06  0.46006E-02 -0.67338E-05  0.00000E+00  0.42520E-01 -0.13840E-05  0.21401E-01 -0.58528E-05 -0.56417E+03 -0.23775E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.24906E-05    127  0.00000E+00      0.000
       0.8750  0.00000E+00  0.90000E-02  0.58697E-06  0.46005E-02 -0.67338E-05  0.00000E+00  0.42573E-01 -0.13806E-05  0.21427E-01 -0.58921E-05 -0.56474E+03 -0.23771E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.24940E-05    128  0.00000E+00      0.000
       0.8850  0.00000E+00  0.60000E-02  0.91821E-05  0.30959E-02 -0.67338E-05  0.00000E+00  0.42633E-01 -0.12888E-05  0.21458E-01 -0.59594E-05 -0.56576E+03 -0.23762E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.25859E-05    129  0.00000E+00      0.000
       0.8950  0.00000E+00  0.60000E-02  0.37020E-06  0.30958E-02 -0.67338E-05  0.00000E+00  0.42693E-01 -0.12851E-05  0.21489E-01 -0.60268E-05 -0.56674E+03 -0.23752E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.25896E-05    130  0.00000E+00      0.000
       0.9050  0.00000E+00  0.60000E-02 -0.50291E-07  0.30957E-02 -0.67338E-05  0.00000E+00  0.42753E-01 -0.12856E-05  0.21520E-01 -0.60941E-05 -0.56773E+03 -0.23743E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.25896E-05    131  0.00000E+00      0.000
       0.9108  0.00000E+00  0.60000E-02 -0.12713E-06  0.30956E-02 -0.67338E-05  0.00000E+00  0.42788E-01 -0.12863E-05  0.21538E-01 -0.61334E-05 -0.56829E+03 -0.23737E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.25896E-05    132  0.00000E+00      0.000
       0.9167  0.00000E+00  0.60000E-02 -0.40792E-06  0.30956E-02 -0.67338E-05  0.00000E+00  0.42823E-01 -0.12887E-05  0.21556E-01 -0.61727E-05 -0.56886E+03 -0.23732E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.25896E-05    133  0.00000E+00      0.000
       0.9167  0.00000E+00  0.60000E-02 -0.11744E-03  0.30956E-02 -0.67338E-05  0.00000E+00  0.42823E-01 -0.12926E-05  0.21556E-01 -0.61729E-05 -0.56886E+03 -0.23731E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.25896E-05    134  0.00000E+00      0.000
       0.9267  0.00000E+00  0.38000E-02  0.69882E-05  0.19922E-02 -0.67338E-05  0.00000E+00  0.42861E-01 -0.12227E-05  0.21576E-01 -0.62402E-05 -0.56981E+03 -0.23722E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26594E-05    135  0.00000E+00      0.000
       0.9367  0.00000E+00  0.38000E-02  0.17695E-07  0.19921E-02 -0.67338E-05  0.00000E+00  0.42899E-01 -0.12226E-05  0.21596E-01 -0.63076E-05 -0.57077E+03 -0.23712E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26596E-05    136  0.00000E+00      0.000
       0.9467  0.00000E+00  0.38000E-02  0.65286E-06  0.19920E-02 -0.67338E-05  0.00000E+00  0.42937E-01 -0.12160E-05  0.21616E-01 -0.63749E-05 -0.57170E+03 -0.23702E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26662E-05    137  0.00000E+00      0.000
       0.9525  0.00000E+00  0.38000E-02  0.24261E-06  0.19919E-02 -0.67338E-05  0.00000E+00  0.42959E-01 -0.12146E-05  0.21628E-01 -0.64140E-05 -0.57224E+03 -0.23696E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26676E-05    138  0.00000E+00      0.000
       0.9583  0.00000E+00  0.38000E-02  0.22468E-06  0.19919E-02 -0.67338E-05  0.00000E+00  0.42981E-01 -0.12133E-05  0.21639E-01 -0.64530E-05 -0.57278E+03 -0.23690E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26689E-05    139  0.00000E+00      0.000
       0.9583  0.00000E+00  0.60000E-02  0.18561E-04  0.30951E-02 -0.67338E-05  0.00000E+00  0.42981E-01 -0.12127E-05  0.21639E-01 -0.64532E-05 -0.57278E+03 -0.23690E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26695E-05    140  0.00000E+00      0.000
       0.9583  0.00000E+00  0.60000E-02 -0.31110E-02  0.30951E-02 -0.67338E-05  0.00000E+00  0.42981E-01 -0.12129E-05  0.21639E-01 -0.64532E-05 -0.57278E+03 -0.23690E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26695E-05    141  0.00000E+00      0.000
       0.9683  0.00000E+00  0.60000E-02  0.47986E-06  0.30950E-02 -0.67338E-05  0.00000E+00  0.43041E-01 -0.12082E-05  0.21670E-01 -0.65206E-05 -0.57370E+03 -0.23682E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26743E-05    142  0.00000E+00      0.000
       0.9783  0.00000E+00  0.60000E-02  0.44331E-06  0.30949E-02 -0.67338E-05  0.00000E+00  0.43101E-01 -0.12037E-05  0.21701E-01 -0.65879E-05 -0.57461E+03 -0.23671E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26787E-05    143  0.00000E+00      0.000
       0.9883  0.00000E+00  0.60000E-02  0.37136E-06  0.30948E-02 -0.67338E-05  0.00000E+00  0.43161E-01 -0.12000E-05  0.21732E-01 -0.66553E-05 -0.57552E+03 -0.23662E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26824E-05    144  0.00000E+00      0.000
       0.9942  0.00000E+00  0.60000E-02 -0.59372E-06  0.30948E-02 -0.67338E-05  0.00000E+00  0.43196E-01 -0.12035E-05  0.21750E-01 -0.66945E-05 -0.57604E+03 -0.23656E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26824E-05    145  0.00000E+00      0.000
       1.0000  0.00000E+00  0.60000E-02  0.59465E-06  0.30947E-02 -0.67338E-05  0.00000E+00  0.43231E-01 -0.12000E-05  0.21768E-01 -0.67338E-05 -0.57656E+03 -0.23651E+04 -0.13287E+04  0.00000E+00  0.00000E+00  0.11252E+02  0.00000E+00  0.26859E-05    146  0.00000E+00      0.000
end
