 ******* Program HYDRUS
 ******* 
 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date:  25. 8.2022    Time:  16:35:25
 Units: L = cm   , T = days , M = -    


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
       97  0.6666667E+00  0.58333E-02    2      196    -4    -5     T
       98  0.6667000E+00  0.33330E-04    2      198    -4    -5     T
       99  0.6767000E+00  0.10000E-01    2      200    -4    -5     T
      100  0.6867000E+00  0.10000E-01    2      202    -4    -5     T
      101  0.6967000E+00  0.10000E-01    2      204    -4    -5     T
      102  0.7025000E+00  0.58000E-02    2      206    -4    -5     T
      103  0.7083000E+00  0.58000E-02    2      208    -4    -5     T
      104  0.7083333E+00  0.33330E-04    2      210    -4    -5     T
      105  0.7083334E+00  0.60000E-07    2      212    -4    -5     T
      106  0.7183334E+00  0.10000E-01    4      216    -4    -5     T
      107  0.7283334E+00  0.10000E-01    2      218    -4    -5     T
      108  0.7383334E+00  0.10000E-01    2      220    -4    -5     T
      109  0.7441667E+00  0.58333E-02    2      222    -4    -5     T
      110  0.7500000E+00  0.58333E-02    2      224    -4    -5     T
      111  0.7600000E+00  0.10000E-01    2      226    -4    -5     T
      112  0.7700000E+00  0.10000E-01    2      228    -4    -5     T
      113  0.7800000E+00  0.10000E-01    2      230    -4    -5     T
      114  0.7858333E+00  0.58333E-02    2      232    -4    -5     T
      115  0.7916667E+00  0.58333E-02    2      234    -4    -5     T
      116  0.7917000E+00  0.33330E-04    2      236    -4    -5     T
      117  0.8017000E+00  0.10000E-01    2      238    -4    -5     T
      118  0.8117000E+00  0.10000E-01    2      240    -4    -5     T
      119  0.8217000E+00  0.10000E-01    2      242    -4    -5     T
      120  0.8275000E+00  0.58000E-02    2      244    -4    -5     T
      121  0.8333000E+00  0.58000E-02    2      246    -4    -5     T
      122  0.8333333E+00  0.33330E-04    2      248    -4    -5     T
      123  0.8333334E+00  0.70001E-07    2      250    -4    -5     T
      124  0.8433334E+00  0.10000E-01    2      252    -4    -5     T
      125  0.8533334E+00  0.10000E-01    2      254    -4    -5     T
      126  0.8633334E+00  0.10000E-01    2      256    -4    -5     T
      127  0.8691667E+00  0.58333E-02    2      258    -4    -5     T
      128  0.8750000E+00  0.58333E-02    2      260    -4    -5     T
      129  0.8850000E+00  0.10000E-01    2      262    -4    -5     T
      130  0.8950000E+00  0.10000E-01    2      264    -4    -5     T
      131  0.9050000E+00  0.10000E-01    2      266    -4    -5     T
      132  0.9108333E+00  0.58333E-02    2      268    -4    -5     T
      133  0.9166667E+00  0.58333E-02    2      270    -4    -5     T
      134  0.9167000E+00  0.33330E-04    2      272    -4    -5     T
      135  0.9267000E+00  0.10000E-01    2      274    -4    -5     T
      136  0.9367000E+00  0.10000E-01    2      276    -4    -5     T
      137  0.9467000E+00  0.10000E-01    2      278    -4    -5     T
      138  0.9525000E+00  0.58000E-02    2      280    -4    -5     T
      139  0.9583000E+00  0.58000E-02    2      282    -4    -5     T
      140  0.9583333E+00  0.33330E-04    2      284    -4    -5     T
      141  0.9583334E+00  0.79998E-07    2      286    -4    -5     T
      142  0.9683334E+00  0.10000E-01    4      290    -4    -5     T
      143  0.9783334E+00  0.10000E-01    2      292    -4    -5     T
      144  0.9883334E+00  0.10000E-01    2      294    -4    -5     T
      145  0.9941667E+00  0.58333E-02    2      296    -4    -5     T
      146  0.1000000E+01  0.58333E-02    2      298    -4    -5     T
end
